OTU	FE01_NS_bactV4V5_Reference_none	FE01_PW_bactV4V5_Reference_none	FE02_NS_bactV4V5_Reference_none	FE02_PW_bactV4V5_Reference_none	FE03_NS_bactV4V5_Reference_none	FE03_PW_bactV4V5_Reference_none	FE04_NS_bactV4V5_Reference_none	FE04_PW_bactV4V5_Reference_none	FE05_NS_bactV4V5_Reference_none	FE05_PW_bactV4V5_Reference_none	FE06_NS_bactV4V5_Mercury_Chloride_10_weeks	FE06_PW_bactV4V5_Mercury_Chloride_10_weeks	FE07_NS_bactV4V5_Mercury_Chloride_10_weeks	FE07_PW_bactV4V5_Mercury_Chloride_10_weeks	FE08_NS_bactV4V5_Mercury_Chloride_10_weeks	FE08_PW_bactV4V5_Mercury_Chloride_10_weeks	FE09_NS_bactV4V5_Mercury_Chloride_10_weeks	FE09_PW_bactV4V5_Mercury_Chloride_10_weeks	FE10_NS_bactV4V5_Mercury_Chloride_10_weeks	FE10_PW_bactV4V5_Mercury_Chloride_10_weeks	FE12_NS_bactV4V5_Formalin_10_weeks	FE12_PW_bactV4V5_Formalin_10_weeks	FE14_NS_bactV4V5_Formalin_10_weeks	FE14_PW_bactV4V5_Formalin_10_weeks	FE15_NS_bactV4V5_Formalin_10_weeks	FE15_PW_bactV4V5_Formalin_10_weeks	FE31_NS_bactV4V5_Mercury_Chloride_28_weeks	FE31_PW_bactV4V5_Mercury_Chloride_28_weeks	FE32_NS_bactV4V5_Mercury_Chloride_28_weeks	FE32_PW_bactV4V5_Mercury_Chloride_28_weeks	FE33_NS_bactV4V5_Mercury_Chloride_28_weeks	FE33_PW_bactV4V5_Mercury_Chloride_28_weeks	FE34_NS_bactV4V5_Mercury_Chloride_28_weeks	FE34_PW_bactV4V5_Mercury_Chloride_28_weeks	FE35_NS_bactV4V5_Mercury_Chloride_28_weeks	FE35_PW_bactV4V5_Mercury_Chloride_28_weeks	FE36_NS_bactV4V5_Formalin_28_weeks	FE37_NS_bactV4V5_Formalin_28_weeks	FE38_NS_bactV4V5_Formalin_28_weeks	FE39_NS_bactV4V5_Formalin_28_weeks	FE40_NS_bactV4V5_Formalin_28_weeks	FE56_PW_bactV4V5_Mercury_Chloride_50_weeks	FE57_PW_bactV4V5_Mercury_Chloride_50_weeks	FE58_NS_bactV4V5_Mercury_Chloride_50_weeks	FE58_PW_bactV4V5_Mercury_Chloride_50_weeks	FE59_PW_bactV4V5_Mercury_Chloride_50_weeks	FE60_NS_bactV4V5_Mercury_Chloride_50_weeks	FE60_PW_bactV4V5_Mercury_Chloride_50_weeks	FE61_PW_bactV4V5_Formalin_50_weeks	FE62_PW_bactV4V5_Formalin_50_weeks	FE63_NS_bactV4V5_Formalin_50_weeks
OTU_1	572	492	1565	1521	1347	555	753	672	2127	1753	551	346	849	344	494	281	482	161	524	484	477	7255	309	2648	228	361	206	406	543	180	556	1452	955	604	329	240	829	295	926	544	1380	453	947	101	611	591	730	1554	141	102	146
OTU_2	9	8	13	9	7	6	4	3	13	6	11	8	9	7	8	3	2	6	1	5	3	2	4	1	2	0	17	4	0	1	11	13	6	5	2	4	0	2	6	6	14	2	10	0	7	11	4	12	0	0	0
OTU_4	403	401	3151	2049	2899	810	1759	983	2655	1483	5593	3482	5891	2539	3088	2204	3541	610	4327	5183	1730	20	1079	27	1109	22	960	2272	2658	748	2778	6443	3391	2970	1968	1571	3479	1391	3392	2137	6786	2669	5040	1046	3526	2745	4657	8990	2129	682	910
OTU_3	4598	3137	13859	7947	10632	2850	5641	5041	9003	4755	34	64	81	52	64	51	74	46	61	176	71	10	70	21	38	73	34	51	56	31	46	190	84	65	15	21	50	40	88	68	390	58	98	3	74	63	73	129	38	1	33
OTU_5	97	26	56	60	92	28	42	97	63	36	36	64	84	45	47	49	40	19	35	53	53	393	68	157	30	115	1	47	20	24	32	215	52	78	22	19	66	20	74	80	385	56	101	8	61	53	66	142	19	0	12
OTU_6	11	22	59	44	34	11	29	14	42	37	5	0	10	4	3	3	3	1	3	8	7	2186	3	337	6	41	0	4	5	3	7	12	7	7	0	0	7	7	20	8	9	0	2	0	8	8	3	14	1	0	2
OTU_7	2421	546	1281	1436	1343	474	471	619	1153	911	85	146	217	126	116	108	83	29	70	146	225	108	161	371	92	142	11	153	62	69	116	544	211	169	58	55	244	65	237	115	363	133	202	17	151	112	218	257	80	42	27
OTU_8	0	0	1	1	3	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	7	443	1	0	1	48	1	0	10	0	1	1	0	0	1	0	21	1	8	0	0	1	0	0	0	1	0	0	1	0	0
OTU_9	166	234	1005	592	1016	310	637	452	696	449	1605	1100	2646	867	1319	738	1036	163	1560	1317	975	234	581	297	601	211	523	966	1388	421	1472	3560	2320	1467	793	594	1120	577	1304	833	2668	1030	2319	472	1891	1444	2899	4133	304	241	304
OTU_10	159	324	722	703	689	285	468	477	729	511	1184	1032	2083	796	1165	583	837	142	1095	1352	677	0	508	107	393	75	195	964	566	320	888	3580	2083	1321	503	524	858	383	917	759	2226	880	2005	250	1627	1418	1408	3469	243	212	138
OTU_11	11	7	10	31	8	7	8	10	13	19	7	9	19	11	12	7	9	0	3	7	0	0	11	0	7	0	2	11	10	5	6	58	15	9	7	7	3	7	13	8	13	9	18	1	19	10	1	10	80	0	1
