OTU	FE-56	FE-57	FE-58	FE-59	FE-60	FE-61	FE-62	FE-63	FE-64	FE-65	FE-66	FE-67	FE-68	FE-69	FE-70	FE-71	FE-72	FE-73	FE-74	FE-75	FE-76	FE-77	FE-78	FE-79	FE-80	FE1-reference	FE10-HGCL2-10weeks	FE12-Formalin-10weeks	FE14-Formalin-10weeks	FE16-RNAlater-10weeks	FE17-RNAlater-10weeks	FE18-RNAlater-10weeks	FE2-reference	FE20-RNAlater-10weeks	FE21-DNAgard-10weeks	FE22-DNAgard-10weeks	FE23-DNAgard-10weeks	FE24-DNAgard-10weeks	FE25-DNAgard-10weeks	FE26-PBuffer-10weeks	FE27-PBuffer-10weeks	FE28-PBuffer-10weeks	FE3-reference	FE30-PBuffer-10weeks	FE31-HGCL2-28weeks	FE32-HGCL2-28weeks	FE33-HGCL2-28weeks	FE34-HGCL2-28weeks	FE35-HGCL2-28weeks	FE4-reference	FE41-RNAlater-28weeks	FE42-RNAlater-28weeks	FE43-RNAlater-28weeks	FE44-RNAlater-28weeks	FE45-RNAlater-28weeks	FE46-DNAgard-28weeks	FE47-DNAgard-28weeks	FE48-DNAgard-28weeks	FE49-DNAgard-28weeks	FE5-reference	FE50-DNAgard-28weeks	FE51-PBuffer-28weeks	FE52-PBuffer-28weeks	FE53-PBuffer-28weeks	FE54-PBuffer-28weeks	FE55-PBuffer-28weeks	FE56-HGCL1-50weeks	FE57-HGCL1-50weeks	FE58-HGCL1-50weeks	FE59-HGCL1-50weeks	FE6-HGCL2-10weeks	FE60-HGCL1-50weeks	FE66-RNAlater-50weeks	FE67-RNAlater-50weeks	FE68-RNAlater-50weeks	FE69-RNAlater-50weeks	FE70-RNAlater-50weeks	FE71-DNAgard-50weeks	FE72-DNAgard-50weeks	FE73-DNAgard-50weeks	FE74-DNAgard-50weeks	FE75-DNAgard-50weeks	FE76-PBuffer-50weeks	FE77-PBuffer-50weeks	FE8-HGCL2-10weeks	FE9-HGCL2-10weeks	FE_31	FE_32	FE_33	FE_34	FE_35	FE_37	FE_38	FE_39	FE_40	FE_41	FE_42	FE_43	FE_44	FE_45	FE_46	FE_47	FE_48	FE_50	FE_51	FE_52	FE_53	FE_54	FE_55	Fixativ-Experiment-10	Fixativ-Experiment-11	Fixativ-Experiment-12	Fixativ-Experiment-13	Fixativ-Experiment-14	Fixativ-Experiment-15	Fixativ-Experiment-16	Fixativ-Experiment-17	Fixativ-Experiment-18	Fixativ-Experiment-19	Fixativ-Experiment-1	Fixativ-Experiment-20	Fixativ-Experiment-21	Fixativ-Experiment-22	Fixativ-Experiment-23	Fixativ-Experiment-24	Fixativ-Experiment-25	Fixativ-Experiment-26	Fixativ-Experiment-27	Fixativ-Experiment-28	Fixativ-Experiment-2	Fixativ-Experiment-30	Fixativ-Experiment-3	Fixativ-Experiment-4	Fixativ-Experiment-5	Fixativ-Experiment-6	Fixativ-Experiment-7	Fixativ-Experiment-8	Fixativ-Experiment-9
2	7	363	0	539	1520	108	0	0	0	66	0	1	108	6	51	133	7	111684	558	776	53	1	3	0	0	6	5	4	70	1385	8377	28	94	55030	4889	15567	322	403	3240	3577	1	68	21	0	1	8	12	359	17675	52	267	331	2	10544	10	0	36	93	1	8	1	0	2	0	0	0	32	1	1	31	9	48	0	0	0	0	5	5	3	72066	708	7	296	574	0	40	0	0	62	0	0	0	29	0	0	282	143	17	894	23	23	0	0	34	0	0	0	0	0	164	3	17	3	99	71	70	328	443	972	1	19778	83718	37525	58881	50539	56823	2971	4	4	0	5	37	8	28	0	0	343	339
1	0	0	1	3	7	2	3	86	5	5	40508	68596	62143	61639	40357	889	225	107	311	10142	35654	14669	3644	0	160	55	2	2	9	2008	2735	1	9	4362	2	0	1	0	1	11436	0	0	10	2	0	0	0	425	1458	29	3326	14752	1	58442	100	8	1	32	2	21	0	9	44	15	1	4	1	6	5	4	5	6	17598	7405	0	3	13850	4	3	1	1	0	17986	0	0	2	0	0	0	1	0	0	1	0	23	4341	20685	3981	29524	1227	62	140	3	8	0	0	0	0	5	2	3	3	2	2	5	15895	12181	18494	23370	18	25537	0	12	0	26	0	3697	1224	116	16	0	0	1	4	0	0	0	2
4	4405	4285	3602	2873	2922	25462	28449	3	30458	26703	0	0	0	2	6	2	41	14	0	1	1	0	1	20647	4	10345	4044	381	324	2	0	3231	17299	0	0	3	3	31	2	1	3303	1	9079	1	1173	405	197	0	5	10504	1	1	0	2	0	0	917	53	3	15137	0	1	33	2	0	37	1159	4010	2434	3242	164	2378	2	0	74	2	0	0	1	3	1	0	0	6661	1	2018	4569	1179	2233	2506	2922	18849	14299	15456	10049	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2901	2425	11878	11711	23586	23740	4	3	2	2	13875	5	0	0	0	0	0	504	207	426	5672	1184	6035	2732	6561	2269	1780	4524	5051
3	393	0	291	619	947	1188	1509	614	318	3355	103	438	198	303	382	3221	3765	2334	1177	27639	2979	12753	16211	1017	1682	1127	142	13	17	1887	658	273	2718	1956	10360	3908	7077	6469	1788	477	158	8520	1696	8734	46	82	20	24624	1680	1827	678	288	560	3316	572	2628	79	38730	3825	3196	2929	12414	26652	32403	12823	17089	119	26	564	414	11	201	1263	434	14070	6591	510	4670	9188	4526	14840	2614	393	376	2	54	60	37	69	0	1	1912	1069	946	848	72	45	148	40	40	176	1231	145	934	1182	4159	3049	15056	4636	120	0	373	943	1223	1261	174	275	102	106	916	562	3375	1099	2886	1016	3372	11909	16209	10602	447	24880	659	316	789	94	164	320	3
5	2638	17584	3002	11032	11136	2354	2805	7557	2983	1897	0	0	2	1	0	2052	2529	787	410	7346	1468	3591	6187	1713	7351	1482	9339	0	2	61	30	9202	3470	21	479	329	2758	461	10	35	11996	731	2450	1088	3682	4126	1464	3661	35	2538	0	1	2	3	4	262	3942	8458	38	3346	0	1235	2955	3290	2334	1385	3269	12398	15114	12865	298	18008	1	3	5104	64	2	112	30	595	635	291	7	9915	2	6176	5491	2728	5523	7826	4445	2698	1549	2217	1572	0	1	0	0	0	173	576	15	702	99	923	446	5922	1472	2406	1	265	734	537	847	22	33	55	56	658	74	993	1047	1018	612	275	2693	3926	1141	399	3867	291	330	742	3788	2235	8301	7340
6	5793	7459	1960	6200	6189	20932	18322	1	15141	15760	0	1	0	1	2	2	24	36	0	2	0	4	1	12233	140	7246	4419	349	237	65	27	3954	11317	46	280	312	48	184	102	35	3088	109	8995	73	1142	723	317	273	46	10467	1	0	2	57	1	2	1052	248	10	8597	33	1	3	2	59	108	1127	3745	4423	5286	87	4056	1	1	4	10	0	0	497	20	4	1	2	7137	61	2230	3277	1372	3281	2549	2429	8003	8502	8690	4375	0	0	1	1	1	0	0	0	19	0	0	0	0	0	2887	977	6693	4117	8578	11917	3	1	9	2	2362	0	155	105	78	262	35	2379	340	62	4382	249	6275	2266	3761	2304	2219	6010	4894
7	1821	1532	0	1103	1432	16857	21467	1	12915	17543	0	0	0	1	3	1	55	5	0	0	0	0	0	9641	0	24125	1130	377	218	1	0	705	3916	0	1	1	1	0	0	0	879	0	22065	1	167	157	55	0	1	23507	2	0	0	2	1	0	355	0	2	568	0	15	14	92	0	0	361	881	642	509	42	638	1	0	323	0	4	1	0	0	0	0	0	2096	1	490	1721	252	108	831	1661	7509	7515	6538	4741	0	0	0	0	0	0	0	0	0	0	143	0	0	0	1616	2	5679	4137	12986	14484	2	1	0	0	3375	7	0	0	0	0	1	5006	0	143	1766	1	15598	8721	2501	617	631	1209	1678
8	796	5844	30	2465	1554	7322	3752	2	3911	7923	0	0	1	1	1	0	4	4	0	0	0	0	0	5076	0	86	1918	77600	101326	8	1	2098	112	0	9	14	22	0	6	6	3454	0	68	53	528	328	170	7	3	37	0	0	2	6	0	0	203	106	6	68	3	48	35	0	23	48	362	2572	596	844	31	2367	1	0	43	0	0	0	20	1	4	0	0	2535	0	792	1109	840	1255	409	3142	3148	703	960	1917	0	1	0	0	0	0	22	2	0	0	12	139	333	121	2109	0	1259	129	3365	1114	0	1	0	0	152	5	50	7	0	2	0	0	59	265	16	104	43	10	12	1153	1035	2817	2593
9	5349	26009	14278	32681	11878	1286	641	0	721	586	0	0	2	0	0	0	4	2	0	2	1	0	0	1437	0	388	4386	93	50	1	0	6997	1156	0	0	1	2	1	0	0	4338	0	805	1	1116	2309	1375	0	1	640	0	0	1	0	0	0	1781	3	0	1113	0	0	1	25	1	0	2592	11563	12487	11719	155	10791	6	1	1	2	0	1	0	0	1	0	0	7940	1	2398	5461	3346	5138	11707	564	580	152	421	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4108	0	358	0	861	1178	0	0	0	0	197	1	1	0	0	0	0	340	2	0	273	0	491	213	451	5712	6183	6635	6772
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	8	0	0	10	29	0	0	0	1	0	9	0	0	7	0	0	0	0	0	3	0	55067	88	7	2	35568	0	0	0	2	32	1	0	81	153	0	2	0	0	2	67	0	0	0	0	9	1	1	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	2	2	0	56701	6818	5591	589	31647	759	21	6	1	9	0	9	0	0	0	0	0	0	0	0	15	16	10	10	0	69	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0
