OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
2	Eukaryota	Cercozoa	Filosa-Thecofilosea	Filosa-Thecofilosea_X	Filosa-Thecofilosea_XX	Filosa-Thecofilosea_XXX	Filosa-Thecofilosea_XXX_sp.
1	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-F	Paraphysomonas	Paraphysomonas_butcheri
4	Eukaryota	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.
3	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-F	Chrysophyceae_Clade-F_X	Chrysophyceae_Clade-F_X_sp.
5	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_unclassified	
6	Eukaryota	Stramenopiles_X	MAST	MAST-1	MAST-1C	MAST-1C_X	MAST-1C_X_sp.
7	Eukaryota	Picozoa	Picozoa_X	Picozoa_XX	Picozoa_XXX	Picozoa_XXX_unclassified	
8	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae_B	Leegaardiella	Leegaardiella_sp.
9	Eukaryota	Stramenopiles_X	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	
11	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_X_unclassified	Chrysophyceae_X_unclassified	
10	Eukaryota	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Reckertia	Reckertia_filosa
12	Eukaryota	Stramenopiles_X	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	
15	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	Picochlorum	Picochlorum_sp.
13	Eukaryota	Radiolaria	RAD-C	RAD-C_X	RAD-C_XX	RAD-C_XXX	RAD-C_XXX_sp.
14	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Protaspa-lineage	Protaspa-lineage_X	Protaspa-lineage_X_sp.
16	Eukaryota	Stramenopiles_X	MAST	MAST-2	MAST-2D	MAST-2D_X	MAST-2D_X_sp.
18	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_unclassified	
17	Eukaryota	Metazoa	Craniata	Craniata_X	Craniata_X_unclassified	Craniata_X_unclassified	
21	Eukaryota	Ciliophora	Spirotrichea	Hypotrichia	Hypotrichia_X	Hypotrichia_XX	Hypotrichia_XX_sp.
22	Eukaryota	Lobosa	Tubulinea	Leptomyxida	Flabellulidae	Paraflabellula	
23	Eukaryota	Stramenopiles_X	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	
24	Eukaryota	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales_X	Trebouxia	Trebouxia_sp.
25	Eukaryota	Cercozoa	Filosa-Thecofilosea	Filosa-Thecofilosea_X	Filosa-Thecofilosea_XX	Filosa-Thecofilosea_XXX	Filosa-Thecofilosea_XXX_sp.
26	Eukaryota	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Reckertia	Reckertia_filosa
20	Eukaryota	Cercozoa	Cercozoa_X	Cercozoa_XX	Cercozoa_XXX	Cercozoa_XXXX	Cercozoa_XXXX_sp.
28	Eukaryota	Metazoa	Arthropoda	Crustacea	Maxillopoda	Temora	Temora_longicornis
27	Eukaryota	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Polarella	Polarella_glacialis
29	Eukaryota	Apusomonadidae	Apusomonadidae_Group-1	Apusomonadidae_Group-1_X	Apusomonadidae_Group-1_XX	Apusomonadidae_Group-1_XXX	Apusomonadidae_Group-1_XXX_sp.
19	Eukaryota	Lobosa	Lobosa_X	Stygamoebida	Vermistella-lineage	Vermistella	
33	Eukaryota	Stramenopiles_X	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	
32	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_unclassified	
34	Eukaryota	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Reckertia	Reckertia_filosa
30	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Protaspa-lineage	Protaspa-lineage_X	Protaspa-lineage_X_sp.
35	Eukaryota	Opisthokonta_unclassified	Opisthokonta_unclassified	Opisthokonta_unclassified	Opisthokonta_unclassified	Opisthokonta_unclassified	
37	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-F	Paraphysomonas	Paraphysomonas_imperforata
36	Eukaryota	Radiolaria	RAD-C	RAD-C_X	RAD-C_XX	RAD-C_XXX	RAD-C_XXX_sp.
38	Eukaryota	Lobosa	Lobosa_X	Stygamoebida	Vermistella-lineage	Vermistella	
39	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-2	Dino-Group-I-Clade-2_X	Dino-Group-I-Clade-2_X_sp.
