sample_title	internal_id	type	treatment	time	extraction	DNA_ng_µL
T0_NS_bac_rep1	FE01_NS_bactV4V5_Reference_none	BAC	none_ref	T0	NS	0.0135
T0_PW_bac_rep1	FE01_PW_bactV4V5_Reference_none	BAC	none_ref	T0	PW	0.713
T0_NS_bac_rep2	FE02_NS_bactV4V5_Reference_none	BAC	none_ref	T0	NS	0.276
T0_PW_bac_rep2	FE02_PW_bactV4V5_Reference_none	BAC	none_ref	T0	PW	0.306
T0_NS_bac_rep3	FE03_NS_bactV4V5_Reference_none	BAC	none_ref	T0	NS	0.23
T0_PW_bac_rep3	FE03_PW_bactV4V5_Reference_none	BAC	none_ref	T0	PW	0.596
T0_NS_bac_rep4	FE04_NS_bactV4V5_Reference_none	BAC	none_ref	T0	NS	0.242
T0_PW_bac_rep4	FE04_PW_bactV4V5_Reference_none	BAC	none_ref	T0	PW	0.784
T0_NS_bac_rep5	FE05_NS_bactV4V5_Reference_none	BAC	none_ref	T0	NS	0.211
T0_PW_bac_rep5	FE05_PW_bactV4V5_Reference_none	BAC	none_ref	T0	PW	0.75
10w_NS_bac_HgCl_rep1	FE06_NS_bactV4V5_Mercury_Chloride_10_weeks	BAC	HgCl	10w	NS	0.0045
10w_PW_bac_HgCl_rep1	FE06_PW_bactV4V5_Mercury_Chloride_10_weeks	BAC	HgCl	10w	PW	0.194
10w_NS_bac_HgCl_rep2	FE07_NS_bactV4V5_Mercury_Chloride_10_weeks	BAC	HgCl	10w	NS	0.12
10w_PW_bac_HgCl_rep2	FE07_PW_bactV4V5_Mercury_Chloride_10_weeks	BAC	HgCl	10w	PW	0.178
10w_NS_bac_HgCl_rep3	FE08_NS_bactV4V5_Mercury_Chloride_10_weeks	BAC	HgCl	10w	NS	0.06
10w_PW_bac_HgCl_rep3	FE08_PW_bactV4V5_Mercury_Chloride_10_weeks	BAC	HgCl	10w	PW	0.234
10w_NS_bac_HgCl_rep4	FE09_NS_bactV4V5_Mercury_Chloride_10_weeks	BAC	HgCl	10w	NS	0
10w_PW_bac_HgCl_rep4	FE09_PW_bactV4V5_Mercury_Chloride_10_weeks	BAC	HgCl	10w	PW	0.251
10w_NS_bac_HgCl_rep5	FE10_NS_bactV4V5_Mercury_Chloride_10_weeks	BAC	HgCl	10w	NS	0.012
10w_PW_bac_HgCl_rep5	FE10_PW_bactV4V5_Mercury_Chloride_10_weeks	BAC	HgCl	10w	PW	0.241
10w_NS_bac_Form_rep2	FE12_NS_bactV4V5_Formalin_10_weeks	BAC	Formalin	10w	NS	0.0004
10w_PW_bac_Form_rep2	FE12_PW_bactV4V5_Formalin_10_weeks	BAC	Formalin	10w	PW	0.0168
10w_NS_bac_Form_rep4	FE14_NS_bactV4V5_Formalin_10_weeks	BAC	Formalin	10w	NS	0.0018
10w_PW_bac_Form_rep4	FE14_PW_bactV4V5_Formalin_10_weeks	BAC	Formalin	10w	PW	0.0166
10w_NS_bac_Form_rep5	FE15_NS_bactV4V5_Formalin_10_weeks	BAC	Formalin	10w	NS	0.0032
