sample_title	internal_id	locus_tag	preservation	time	extraction	forward_read_file_name	reverse_read_file_name
28w_NS_euk_HgCl_rep1	FE31_NS_euk_Mercury_Chloride_28_weeks	18S	HgCl	28w	NucleoSpin	FE_31_S19_L001_R1_001.fastq.gz	FE_31_S19_L001_R2_001.fastq.gz
28w_NS_euk_HgCl_rep2	FE32_NS_euk_Mercury_Chloride_28_weeks	18S	HgCl	28w	NucleoSpin	FE_32_S31_L001_R1_001.fastq.gz	FE_32_S31_L001_R2_001.fastq.gz
28w_NS_euk_HgCl_rep3	FE33_NS_euk_Mercury_Chloride_28_weeks	18S	HgCl	28w	NucleoSpin	FE_33_S43_L001_R1_001.fastq.gz	FE_33_S43_L001_R2_001.fastq.gz
28w_NS_euk_HgCl_rep4	FE34_NS_euk_Mercury_Chloride_28_weeks	18S	HgCl	28w	NucleoSpin	FE_34_S55_L001_R1_001.fastq.gz	FE_34_S55_L001_R2_001.fastq.gz
28w_NS_euk_HgCl_rep5	FE35_NS_euk_Mercury_Chloride_28_weeks	18S	HgCl	28w	NucleoSpin	FE_35_S67_L001_R1_001.fastq.gz	FE_35_S67_L001_R2_001.fastq.gz
28w_NS_euk_Form_rep1	FE36_NS_euk_Formalin_28_weeks	18S	Formalin	28w	NucleoSpin	FE_36_S79_L001_R1_001.fastq.gz	FE_36_S79_L001_R2_001.fastq.gz
28w_NS_euk_Form_rep2	FE37_NS_euk_Formalin_28_weeks	18S	Formalin	28w	NucleoSpin	FE_37_S91_L001_R1_001.fastq.gz	FE_37_S91_L001_R2_001.fastq.gz
28w_NS_euk_Form_rep3	FE38_NS_euk_Formalin_28_weeks	18S	Formalin	28w	NucleoSpin	FE_38_S8_L001_R1_001.fastq.gz	FE_38_S8_L001_R2_001.fastq.gz
28w_NS_euk_Form_rep4	FE39_NS_euk_Formalin_28_weeks	18S	Formalin	28w	NucleoSpin	FE_39_S20_L001_R1_001.fastq.gz	FE_39_S20_L001_R2_001.fastq.gz
28w_NS_euk_Form_rep5	FE40_NS_euk_Formalin_28_weeks	18S	Formalin	28w	NucleoSpin	FE_40_S32_L001_R1_001.fastq.gz	FE_40_S32_L001_R2_001.fastq.gz
28w_NS_euk_RNAl_rep1	FE41_NS_euk_RNAlater_28_weeks	18S	RNAlater	28w	NucleoSpin	FE_41_S44_L001_R1_001.fastq.gz	FE_41_S44_L001_R2_001.fastq.gz
28w_NS_euk_RNAl_rep2	FE42_NS_euk_RNAlater_28_weeks	18S	RNAlater	28w	NucleoSpin	FE_42_S56_L001_R1_001.fastq.gz	FE_42_S56_L001_R2_001.fastq.gz
28w_NS_euk_RNAl_rep3	FE43_NS_euk_RNAlater_28_weeks	18S	RNAlater	28w	NucleoSpin	FE_43_S68_L001_R1_001.fastq.gz	FE_43_S68_L001_R2_001.fastq.gz
28w_NS_euk_RNAl_rep4	FE44_NS_euk_RNAlater_28_weeks	18S	RNAlater	28w	NucleoSpin	FE_44_S80_L001_R1_001.fastq.gz	FE_44_S80_L001_R2_001.fastq.gz
28w_NS_euk_RNAl_rep5	FE45_NS_euk_RNAlater_28_weeks	18S	RNAlater	28w	NucleoSpin	FE_45_S92_L001_R1_001.fastq.gz	FE_45_S92_L001_R2_001.fastq.gz
28w_NS_euk_DNAg_rep1	FE46_NS_euk_DNAgard_28_weeks	18S	DNAgard	28w	NucleoSpin	FE_46_S9_L001_R1_001.fastq.gz	FE_46_S9_L001_R2_001.fastq.gz
28w_NS_euk_DNAg_rep2	FE47_NS_euk_DNAgard_28_weeks	18S	DNAgard	28w	NucleoSpin	FE_47_S21_L001_R1_001.fastq.gz	FE_47_S21_L001_R2_001.fastq.gz
28w_NS_euk_DNAg_rep3	FE48_NS_euk_DNAgard_28_weeks	18S	DNAgard	28w	NucleoSpin	FE_48_S33_L001_R1_001.fastq.gz	FE_48_S33_L001_R2_001.fastq.gz
28w_NS_euk_DNAg_rep4	FE49_NS_euk_DNAgard_28_weeks	18S	DNAgard	28w	NucleoSpin	FE_49_S45_L001_R1_001.fastq.gz	FE_49_S45_L001_R2_001.fastq.gz
28w_NS_euk_DNAg_rep5	FE50_NS_euk_DNAgard_28_weeks	18S	DNAgard	28w	NucleoSpin	FE_50_S57_L001_R1_001.fastq.gz	FE_50_S57_L001_R2_001.fastq.gz
28w_NS_euk_PB_rep1	FE51_NS_euk_PBuffer_28_weeks	18S	PBuffer	28w	NucleoSpin	FE_51_S69_L001_R1_001.fastq.gz	FE_51_S69_L001_R2_001.fastq.gz
28w_NS_euk_PB_rep2	FE52_NS_euk_PBuffer_28_weeks	18S	PBuffer	28w	NucleoSpin	FE_52_S81_L001_R1_001.fastq.gz	FE_52_S81_L001_R2_001.fastq.gz
28w_NS_euk_PB_rep3	FE53_NS_euk_PBuffer_28_weeks	18S	PBuffer	28w	NucleoSpin	FE_53_S93_L001_R1_001.fastq.gz	FE_53_S93_L001_R2_001.fastq.gz
28w_NS_euk_PB_rep4	FE54_NS_euk_PBuffer_28_weeks	18S	PBuffer	28w	NucleoSpin	FE_54_S10_L001_R1_001.fastq.gz	FE_54_S10_L001_R2_001.fastq.gz
28w_NS_euk_PB_rep5	FE55_NS_euk_PBuffer_28_weeks	18S	PBuffer	28w	NucleoSpin	FE_55_S22_L001_R1_001.fastq.gz	FE_55_S22_L001_R2_001.fastq.gz
T0_NS_bac_rep1	FE01_NS_bactV4V5_Reference_none	16S	none_ref	T0	NucleoSpin	FE01_NS_bactV4V5_Reference_none_S1_L001_R1_001.fastq.gz	FE01_NS_bactV4V5_Reference_none_S1_L001_R2_001.fastq.gz
T0_PW_bac_rep1	FE01_PW_bactV4V5_Reference_none	16S	none_ref	T0	PowerWater	FE01_PW_bactV4V5_Reference_none_S97_L001_R1_001.fastq.gz	FE01_PW_bactV4V5_Reference_none_S97_L001_R2_001.fastq.gz
T0_NS_bac_rep2	FE02_NS_bactV4V5_Reference_none	16S	none_ref	T0	NucleoSpin	FE02_NS_bactV4V5_Reference_none_S2_L001_R1_001.fastq.gz	FE02_NS_bactV4V5_Reference_none_S2_L001_R2_001.fastq.gz
T0_PW_bac_rep2	FE02_PW_bactV4V5_Reference_none	16S	none_ref	T0	PowerWater	FE02_PW_bactV4V5_Reference_none_S98_L001_R1_001.fastq.gz	FE02_PW_bactV4V5_Reference_none_S98_L001_R2_001.fastq.gz
T0_NS_bac_rep3	FE03_NS_bactV4V5_Reference_none	16S	none_ref	T0	NucleoSpin	FE03_NS_bactV4V5_Reference_none_S3_L001_R1_001.fastq.gz	FE03_NS_bactV4V5_Reference_none_S3_L001_R2_001.fastq.gz
T0_PW_bac_rep3	FE03_PW_bactV4V5_Reference_none	16S	none_ref	T0	PowerWater	FE03_PW_bactV4V5_Reference_none_S99_L001_R1_001.fastq.gz	FE03_PW_bactV4V5_Reference_none_S99_L001_R2_001.fastq.gz
