sample_title	internal_id	swarm_id
T0_NS_bac_rep1	FE01_NS_bactV4V5_Reference_none	FE01_NS_bactV4V5_Reference_none
T0_NS_bac_rep2	FE02_NS_bactV4V5_Reference_none	FE02_NS_bactV4V5_Reference_none
T0_NS_bac_rep3	FE03_NS_bactV4V5_Reference_none	FE03_NS_bactV4V5_Reference_none
T0_NS_bac_rep4	FE04_NS_bactV4V5_Reference_none	FE04_NS_bactV4V5_Reference_none
T0_NS_bac_rep5	FE05_NS_bactV4V5_Reference_none	FE05_NS_bactV4V5_Reference_none
T0_PW_bac_rep1	FE01_PW_bactV4V5_Reference_none	FE01_PW_bactV4V5_Reference_none
T0_PW_bac_rep2	FE02_PW_bactV4V5_Reference_none	FE02_PW_bactV4V5_Reference_none
T0_PW_bac_rep3	FE03_PW_bactV4V5_Reference_none	FE03_PW_bactV4V5_Reference_none
T0_PW_bac_rep4	FE04_PW_bactV4V5_Reference_none	FE04_PW_bactV4V5_Reference_none
T0_PW_bac_rep5	FE05_PW_bactV4V5_Reference_none	FE05_PW_bactV4V5_Reference_none
10w_NS_bac_HgCl_rep1	FE06_NS_bactV4V5_Mercury_Chloride_10_weeks	FE06_NS_bactV4V5_Mercury_Chloride_10_weeks
10w_NS_bac_HgCl_rep2	FE07_NS_bactV4V5_Mercury_Chloride_10_weeks	FE07_NS_bactV4V5_Mercury_Chloride_10_weeks
10w_NS_bac_HgCl_rep3	FE08_NS_bactV4V5_Mercury_Chloride_10_weeks	FE08_NS_bactV4V5_Mercury_Chloride_10_weeks
10w_NS_bac_HgCl_rep4	FE09_NS_bactV4V5_Mercury_Chloride_10_weeks	FE09_NS_bactV4V5_Mercury_Chloride_10_weeks
10w_NS_bac_HgCl_rep5	FE10_NS_bactV4V5_Mercury_Chloride_10_weeks	FE10_NS_bactV4V5_Mercury_Chloride_10_weeks
28w_NS_bac_HgCl_rep1	FE31_NS_bactV4V5_Mercury_Chloride_28_weeks	FE31_NS_bactV4V5_Mercury_Chloride_28_weeks
28w_NS_bac_HgCl_rep2	FE32_NS_bactV4V5_Mercury_Chloride_28_weeks	FE32_NS_bactV4V5_Mercury_Chloride_28_weeks
28w_NS_bac_HgCl_rep3	FE33_NS_bactV4V5_Mercury_Chloride_28_weeks	FE33_NS_bactV4V5_Mercury_Chloride_28_weeks
28w_NS_bac_HgCl_rep4	FE34_NS_bactV4V5_Mercury_Chloride_28_weeks	FE34_NS_bactV4V5_Mercury_Chloride_28_weeks
