sample_title	internal_id	swarm_id
T0_NS_euk_rep1	FE01_NS_euk_Reference_none	Fixativ-Experiment-1
T0_NS_euk_rep2	FE02_NS_euk_Reference_none	Fixativ-Experiment-2
T0_NS_euk_rep3	FE03_NS_euk_Reference_none	Fixativ-Experiment-3
T0_NS_euk_rep4	FE04_NS_euk_Reference_none	Fixativ-Experiment-4
T0_NS_euk_rep5	FE05_NS_euk_Reference_none	Fixativ-Experiment-5
T0_PW_euk_rep1	FE01_PW_euk_Reference_none	FE1-reference
T0_PW_euk_rep2	FE02_PW_euk_Reference_none	FE2-reference
T0_PW_euk_rep3	FE03_PW_euk_Reference_none	FE3-reference
T0_PW_euk_rep4	FE04_PW_euk_Reference_none	FE4-reference
T0_PW_euk_rep5	FE05_PW_euk_Reference_none	FE5-reference
10w_NS_euk_HgCl_rep1	FE10_NS_euk_Mercury_Chloride_10_weeks	Fixativ-Experiment-10
10w_NS_euk_HgCl_rep2	FE06_NS_euk_Mercury_Chloride_10_weeks	Fixativ-Experiment-6
10w_NS_euk_HgCl_rep3	FE07_NS_euk_Mercury_Chloride_10_weeks	Fixativ-Experiment-7
10w_NS_euk_HgCl_rep4	FE08_NS_euk_Mercury_Chloride_10_weeks	Fixativ-Experiment-8
10w_NS_euk_HgCl_rep5	FE09_NS_euk_Mercury_Chloride_10_weeks	Fixativ-Experiment-9
28w_NS_euk_HgCl_rep1	FE31_NS_euk_Mercury_Chloride_28_weeks	FE_31
28w_NS_euk_HgCl_rep2	FE32_NS_euk_Mercury_Chloride_28_weeks	FE_32
28w_NS_euk_HgCl_rep3	FE33_NS_euk_Mercury_Chloride_28_weeks	FE_33
28w_NS_euk_HgCl_rep4	FE34_NS_euk_Mercury_Chloride_28_weeks	FE_34
28w_NS_euk_HgCl_rep5	FE35_NS_euk_Mercury_Chloride_28_weeks	FE_35
50w_NS_euk_HgCl_rep1	FE56_NS_euk_Mercury_Chloride_50_weeks	FE-56
50w_NS_euk_HgCl_rep2	FE57_NS_euk_Mercury_Chloride_50_weeks	FE-57
50w_NS_euk_HgCl_rep3	FE58_NS_euk_Mercury_Chloride_50_weeks	FE-58
50w_NS_euk_HgCl_rep4	FE59_NS_euk_Mercury_Chloride_50_weeks	FE-59
50w_NS_euk_HgCl_rep5	FE60_NS_euk_Mercury_Chloride_50_weeks	FE-60
10w_PW_euk_HgCl_rep1	FE10_PW_euk_Mercury_Chloride_10_weeks	FE10-HGCL2-10weeks
10w_PW_euk_HgCl_rep2	FE06_PW_euk_Mercury_Chloride_10_weeks	FE6-HGCL2-10weeks
10w_PW_euk_HgCl_rep4	FE08_PW_euk_Mercury_Chloride_10_weeks	FE8-HGCL2-10weeks
10w_PW_euk_HgCl_rep5	FE09_PW_euk_Mercury_Chloride_10_weeks	FE9-HGCL2-10weeks
28w_PW_euk_HgCl_rep1	FE31_PW_euk_Mercury_Chloride_28_weeks	FE31-HGCL2-28weeks
